country,iso3,region,regime_type,womens_inclusion_index,female_labor_force_participation
Norway,NOR,Europe & Central Asia,Liberal Democracy,84,61
Sweden,SWE,Europe & Central Asia,Liberal Democracy,82,60
Canada,CAN,North America,Liberal Democracy,79,61
Costa Rica,CRI,Latin America & Caribbean,Liberal Democracy,68,48
Indonesia,IDN,East Asia & Pacific,Electoral Democracy,58,53
Brazil,BRA,Latin America & Caribbean,Electoral Democracy,61,54
South Africa,ZAF,Sub-Saharan Africa,Electoral Democracy,55,49
Kenya,KEN,Sub-Saharan Africa,Electoral Democracy,60,62
Nigeria,NGA,Sub-Saharan Africa,Electoral Democracy,52,48
India,IND,South Asia,Electoral Autocracy,41,25
Bangladesh,BGD,South Asia,Electoral Autocracy,47,38
Pakistan,PAK,South Asia,Electoral Autocracy,34,23
Turkey,TUR,Europe & Central Asia,Electoral Autocracy,49,34
Hungary,HUN,Europe & Central Asia,Electoral Autocracy,57,51
Ethiopia,ETH,Sub-Saharan Africa,Electoral Autocracy,53,58
Saudi Arabia,SAU,Middle East & North Africa,Closed Autocracy,44,33
China,CHN,East Asia & Pacific,Closed Autocracy,63,61
Vietnam,VNM,East Asia & Pacific,Closed Autocracy,66,69
Afghanistan,AFG,South Asia,Closed Autocracy,18,15
